,country,food_category,consumption,co2_emmission,Continent,country_lat,country_long
0,Albania,Fish,3.85,6.15,Europe,41.000028,19.9999619
1,Albania,Grains,73.21,18.200000000000003,Europe,41.000028,19.9999619
2,Albania,Milk and Wheat Products,303.72,432.62,Europe,41.000028,19.9999619
3,Albania,Poultry,12.84,12.825,Europe,41.000028,19.9999619
4,Albania,Protein Foods,2.18,3.86,Europe,41.000028,19.9999619
5,Albania,Red Meat,16.233333333333334,423.1033333333333,Europe,41.000028,19.9999619
6,Algeria,Fish,3.74,5.970000000000001,Africa,28.0000272,2.9999825
7,Algeria,Grains,94.195,19.58,Africa,28.0000272,2.9999825
8,Algeria,Milk and Wheat Products,141.53,201.6,Africa,28.0000272,2.9999825
9,Algeria,Poultry,7.74,7.685,Africa,28.0000272,2.9999825
10,Algeria,Protein Foods,1.04,1.84,Africa,28.0000272,2.9999825
11,Algeria,Red Meat,4.43,147.36666666666667,Africa,28.0000272,2.9999825
12,Angola,Fish,15.239999999999998,24.33,Africa,-11.8775768,17.5691241
13,Angola,Grains,24.42,9.08,Africa,-11.8775768,17.5691241
14,Angola,Milk and Wheat Products,12.3,17.52,Africa,-11.8775768,17.5691241
15,Angola,Poultry,9.22,9.82,Africa,-11.8775768,17.5691241
16,Angola,Protein Foods,1.39,2.115,Africa,-11.8775768,17.5691241
17,Angola,Red Meat,6.13,109.70333333333332,Africa,-11.8775768,17.5691241
18,Argentina,Fish,4.359999999999999,6.96,South America,-34.9964963,-64.9672817
19,Argentina,Grains,55.94,15.44,South America,-34.9964963,-64.9672817
20,Argentina,Milk and Wheat Products,195.08,277.87,South America,-34.9964963,-64.9672817
21,Argentina,Poultry,25.025,25.995,South America,-34.9964963,-64.9672817
22,Argentina,Protein Foods,0.245,0.435,South America,-34.9964963,-64.9672817
23,Argentina,Red Meat,22.516666666666666,601.2766666666668,South America,-34.9964963,-64.9672817
24,Armenia,Fish,4.359999999999999,6.96,Asia,40.7696272,44.6736646
25,Armenia,Grains,66.89,14.49,Asia,40.7696272,44.6736646
26,Armenia,Milk and Wheat Products,209.03,297.74,Asia,40.7696272,44.6736646
27,Armenia,Poultry,12.52,12.54,Asia,40.7696272,44.6736646
28,Armenia,Protein Foods,1.275,2.255,Asia,40.7696272,44.6736646
29,Armenia,Red Meat,10.783333333333331,248.88666666666668,Asia,40.7696272,44.6736646
30,Australia,Fish,17.69,28.25,Oceania,-24.7761086,134.755
31,Australia,Grains,40.745000000000005,13.78,Oceania,-24.7761086,134.755
32,Australia,Milk and Wheat Products,234.49,334.01,Oceania,-24.7761086,134.755
33,Australia,Poultry,27.315,28.68,Oceania,-24.7761086,134.755
34,Australia,Protein Foods,4.459999999999999,7.77,Oceania,-24.7761086,134.755
35,Australia,Red Meat,22.62333333333333,491.98,Oceania,-24.7761086,134.755
36,Austria,Fish,12.16,19.42,Europe,47.59397,14.12456
37,Austria,Grains,42.4,10.1,Europe,47.59397,14.12456
38,Austria,Milk and Wheat Products,258.09,367.62,Europe,47.59397,14.12456
39,Austria,Poultry,16.645000000000003,16.74,Europe,47.59397,14.12456
40,Austria,Protein Foods,4.97,7.439999999999999,Europe,47.59397,14.12456
41,Austria,Red Meat,23.62,251.85333333333327,Europe,47.59397,14.12456
42,Bahamas,Fish,18.8,30.02,North America,24.7736546,-78.0000547
43,Bahamas,Grains,31.975,19.145,North America,24.7736546,-78.0000547
44,Bahamas,Milk and Wheat Products,104.76,149.22,North America,24.7736546,-78.0000547
45,Bahamas,Poultry,25.97,27.415000000000003,North America,24.7736546,-78.0000547
46,Bahamas,Protein Foods,2.06,3.585,North America,24.7736546,-78.0000547
47,Bahamas,Red Meat,19.293333333333333,304.4566666666667,North America,24.7736546,-78.0000547
48,Bangladesh,Fish,18.07,28.85,Asia,24.4769288,90.2934413
49,Bangladesh,Grains,94.6,111.545,Asia,24.4769288,90.2934413
50,Bangladesh,Milk and Wheat Products,21.91,31.21,Asia,24.4769288,90.2934413
51,Bangladesh,Poultry,1.74,1.705,Asia,24.4769288,90.2934413
52,Bangladesh,Protein Foods,0.665,0.77,Asia,24.4769288,90.2934413
53,Bangladesh,Red Meat,0.8700000000000001,28.69333333333333,Asia,24.4769288,90.2934413
54,Barbados,Fish,37.41,59.73,North America,13.1500331,-59.5250305
55,Barbados,Grains,40.685,16.285,North America,13.1500331,-59.5250305
56,Barbados,Milk and Wheat Products,110.48,157.37,North America,13.1500331,-59.5250305
57,Barbados,Poultry,26.115,27.305,North America,13.1500331,-59.5250305
58,Barbados,Protein Foods,2.1299999999999994,3.705,North America,13.1500331,-59.5250305
59,Barbados,Red Meat,8.503333333333334,192.47333333333336,North America,13.1500331,-59.5250305
60,Belarus,Fish,15.75,25.15,Europe,53.4250605,27.6971358
61,Belarus,Grains,31.825,7.795,Europe,53.4250605,27.6971358
62,Belarus,Milk and Wheat Products,133.73,190.49,Europe,53.4250605,27.6971358
63,Belarus,Poultry,23.575,24.09,Europe,53.4250605,27.6971358
64,Belarus,Protein Foods,1.83,3.045,Europe,53.4250605,27.6971358
65,Belarus,Red Meat,19.19666666666667,224.90666666666667,Europe,53.4250605,27.6971358
66,Belgium,Fish,18.97,30.29,Europe,50.6402809,4.6667145
67,Belgium,Grains,60.26,16.18,Europe,50.6402809,4.6667145
68,Belgium,Milk and Wheat Products,236.19,336.42999999999995,Europe,50.6402809,4.6667145
69,Belgium,Poultry,12.395,12.34,Europe,50.6402809,4.6667145
70,Belgium,Protein Foods,3.695,6.495,Europe,50.6402809,4.6667145
71,Belgium,Red Meat,18.53333333333333,221.78,Europe,50.6402809,4.6667145
72,Belize,Fish,7.57,12.09,North America,16.8259793,-88.7600927
73,Belize,Grains,41.24,23.34,North America,16.8259793,-88.7600927
